From_Epoch,To_Epoch,DataPoint,Prediction_Difference,Mean_Difference,Std_Difference
400,450,31,0.16356778,0.16755109,0.13965093
400,450,32,0.051296473,0.16755109,0.13965093
400,450,33,0.051296353,0.16755109,0.13965093
400,450,34,0.11351526,0.16755109,0.13965093
400,450,35,0.11351526,0.16755109,0.13965093
400,450,36,0.24271584,0.16755109,0.13965093
400,450,37,0.24271584,0.16755109,0.13965093
450,500,1,0.022799134,0.0118317865,0.11973251
450,500,2,0.04842353,0.0118317865,0.11973251
450,500,3,0.04842353,0.0118317865,0.11973251
450,500,4,0.10718179,0.0118317865,0.11973251
450,500,5,0.10718179,0.0118317865,0.11973251
450,500,6,-0.0038727522,0.0118317865,0.11973251
450,500,7,-0.0038727522,0.0118317865,0.11973251
450,500,8,-0.27230906,0.0118317865,0.11973251
450,500,9,-0.27230906,0.0118317865,0.11973251
450,500,10,-0.3311658,0.0118317865,0.11973251
450,500,11,-0.3311658,0.0118317865,0.11973251
450,500,12,-0.046170354,0.0118317865,0.11973251
450,500,13,-0.046170354,0.0118317865,0.11973251
450,500,14,0.09992683,0.0118317865,0.11973251
450,500,15,0.09992683,0.0118317865,0.11973251
450,500,16,0.09104931,0.0118317865,0.11973251
450,500,17,0.09104931,0.0118317865,0.11973251
450,500,18,-0.023795366,0.0118317865,0.11973251
450,500,19,-0.023795366,0.0118317865,0.11973251
450,500,20,-0.0013936758,0.0118317865,0.11973251
450,500,21,-0.0013936758,0.0118317865,0.11973251
450,500,22,0.09987688,0.0118317865,0.11973251
450,500,23,0.09987688,0.0118317865,0.11973251
450,500,24,0.095308065,0.0118317865,0.11973251
450,500,25,0.095308065,0.0118317865,0.11973251
450,500,26,0.08785367,0.0118317865,0.11973251
450,500,27,0.08785367,0.0118317865,0.11973251
450,500,28,0.06327951,0.0118317865,0.11973251
450,500,29,0.06327951,0.0118317865,0.11973251
450,500,30,0.000521183,0.0118317865,0.11973251
450,500,31,0.0005213022,0.0118317865,0.11973251
450,500,32,0.08935988,0.0118317865,0.11973251
450,500,33,0.08936012,0.0118317865,0.11973251
450,500,34,0.10061145,0.0118317865,0.11973251
450,500,35,0.10061145,0.0118317865,0.11973251
450,500,36,0.0028032064,0.0118317865,0.11973251
450,500,37,0.0028032064,0.0118317865,0.11973251
